Configuration,Term,J,Level (cm-1),Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""4f13.(2F*<7/2>).5d.6p.(3P*<1>)""","=""""","=""9/2""","="" 69957.49""","=""""","=""1.112""","=""  34  (7/2,1)       :    18                                 (2F*<7/2>)(3D*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<3>)""","=""(5/2,3)""","=""1/2""","="" 70029.04""","=""""","=""0.68""","=""  28                :    19                                 (2F*<5/2>)(1D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<3>)""","=""(5/2,3)""","=""11/2""","="" 72615.74""","=""""","=""0.99""","=""  85                :     4                                 (2F*<7/2>)(1F*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<3>)""","=""(5/2,3)""","=""3/2""","="" 73657.29""","=""""","=""1.04""","=""  32                :    25                                 (2F*<5/2>)(3F*<4>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<3>)""","=""(5/2,3)""","=""5/2""","="" 74270.48""","=""""","=""0.92""","=""  72                :     7                                 (2F*<5/2>)(3D*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<3>)""","=""(5/2,3)""","=""7/2""","="" 75640.06""","=""""","=""0.81""","=""  51                :    19                                 (2F*<5/2>)(3F*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<3>)""","=""(5/2,3)""","=""9/2""","="" 76516.11""","=""""","=""1.01""","=""  46                :    27                                 (2F*<5/2>)(3D*<2>)      ""","="""""
"=""4f14.5f""","=""2F*""","=""5/2""","="" 70502.90""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.5f""","=""2F*""","=""7/2""","="" 70580.19""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","="" 70793.96""","=""""","=""1.20""","=""  41                :    28                                 (2F*<7/2>)(3F*<4>)      ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3P*<2>)""","=""(7/2,2)""","=""9/2""","="" 70858.18""","=""""","=""1.28""","=""  70                :    13                                 (2F*<7/2>)(3P*<1>)      ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3P*<2>)""","=""(7/2,2)""","=""3/2""","="" 71113.84""","=""""","=""0.967""","=""  22                :    21                                 (2F*<5/2>)(3F*<2>)      ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","="" 71222.36""","=""""","=""1.15""","=""  52                :    16                                 (2F*<7/2>)(1F*<3>)      ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3P*<1>)""","=""""","=""5/2""","="" 70954.27""","=""""","=""1.014""","=""  27  (7/2,1)       :    20                                 (2F*<7/2>)(3P*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1D*<2>)""","=""""","=""3/2""","="" 71763.67""","=""""","=""1.11""","=""  20  (5/2,2)       :    18                                 (2F*<5/2>)(3F*<4>)      ""","="""""
"=""4f14.8s""","=""2S""","=""1/2""","="" 73039.61""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1D*<2>)""","=""""","=""1/2""","="" 73636.83""","=""""","=""0.70""","=""  24  (5/2,1)       :    21                                 (2F*<5/2>)(3D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1D*<2>)""","=""""","=""9/2""","="" 73750.90""","=""""","=""1.07""","=""  39  (5/2,2)       :    31                                 (2F*<5/2>)(1F*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<1>)""","=""(5/2,1)""","=""7/2""","="" 73966.81""","=""""","=""0.763""","=""  63                :    16                                 (2F*<5/2>)(1D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<1>)""","=""(5/2,1)""","=""5/2""","="" 75058.11""","=""""","=""0.76""","=""  53                :     8                                 (2F*<5/2>)(3F*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<1>)""","=""(5/2,1)""","=""3/2""","="" 77284.02""","=""""","=""0.90""","=""  41                :    12                                 (2F*<5/2>)(3D*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<2>)""","=""(5/2,2)""","=""9/2""","="" 74568.58""","=""""","=""1.04""","=""  55                :    25                                 (2F*<5/2>)(3F*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<2>)""","=""(5/2,2)""","=""7/2""","="" 76323.49""","=""""","=""1.00""","=""  56                :    18                                 (2F*<5/2>)(1D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<3>)""","=""""","=""7/2""","="" 74973.41""","=""""","=""1.07""","=""  35  (5/2,3)       :    26                                 (2F*<5/2>)(3F*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1D*<2>)""","=""""","=""1/2""","="" 74989.49""","=""""","=""0.52""","=""  35  (5/2,2)       :    27                                 (2F*<5/2>)(3D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<2>)""","=""""","=""3/2""","="" 74991.36""","=""""","=""1.05""","=""  35  (5/2,2)       :    19                                 (2F*<5/2>)(1D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(1D*<2>)""","=""(5/2,2)""","=""5/2""","="" 75550.94""","=""""","=""0.91""","=""  45                :    18                                 (2F*<5/2>)(3D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<4>)""","=""(5/2,4)""","=""11/2""","="" ""","=""""","=""""","=""  74                :    21                                 (2F*<5/2>)(1F*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<4>)""","=""(5/2,4)""","=""5/2""","="" 76170.25""","=""""","=""1.12""","=""  35                :    24                                 (2F*<5/2>)(3D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<4>)""","=""(5/2,4)""","=""13/2""","="" 76233.60""","=""""","=""1.07""","=""  98                :     1                                 (2F*<7/2>)(3F*<4>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<4>)""","=""(5/2,4)""","=""7/2""","="" 77882.04""","=""""","=""1.13""","=""  71                :     7                                 (2F*<5/2>)(3P*<1>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<4>)""","=""(5/2,4)""","=""9/2""","="" 79126.83""","=""""","=""1.15?""","=""  71                :    15                                 (2F*<5/2>)(3D*<3>)      ""","="""""
"=""4f14.7d?""","=""2D?""","=""3/2""","="" 76517.21""","=""""","=""0.85""","=""                                                                                    ""","="""""
"=""4f14.7d?""","=""2D?""","=""5/2""","="" 76676.31""","=""""","=""1.10""","=""                                                                                    ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<3>)""","=""(5/2,3)""","=""11/2""","="" 76649.80""","=""""","=""1.08""","=""  65                :    20                                 (2F*<5/2>)(1F*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<3>)""","=""(5/2,3)""","=""7/2""","="" 77449.32""","=""""","=""1.16""","=""  55                :    12                                 (2F*<5/2>)(3D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<3>)""","=""(5/2,3)""","=""9/2""","="" 77747.40""","=""""","=""1.07""","=""  41                :    19                                 (2F*<5/2>)(3P*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<3>)""","=""(5/2,3)""","=""1/2""","="" 77887.30""","=""""","=""2.20""","=""  69                :    12                                 (2F*<5/2>)(3F*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<3>)""","=""(5/2,3)""","=""5/2""","="" 78814.86""","=""""","=""1.22""","=""  32                :    24                                 (2F*<5/2>)(3P*<1>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<3>)?""","=""""","=""3/2""","="" 76799.07""","=""""","=""0.84""","=""  23  (5/2,3)       :    23                                 (2F*<5/2>)(3D*<2>)?     ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3D*<1>)?""","=""""","=""5/2""","="" 76839.00""","=""""","=""1.11""","=""  18  (5/2,1)       :    18                                 (2F*<5/2>)(3F*<4>)?     ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<4>)""","=""""","=""5/2""","="" 77606.58""","=""""","=""1.14""","=""  30  (5/2,4)       :    22                                 (2F*<7/2>)(1P*<1>)      ""","="""""
