Wavelength,LL,LL Parity,LL J,UL,UL Parity,UL J,log gf,gA,CF
6021.924,59632,(o),6.5,76234,(e),6.5,-0.08,1.53E+08,0.817
6024.076,41688,(o),1.5,58284,(e),2.5,-1.29,9.23E+06,0.224
6024.907,59047,(o),4.5,75640,(e),3.5,-2.58,4.68E+05,-0.004
6029.133,54641,(o),4.5,71222,(e),3.5,-2.27,1.01E+06,0.003
6029.788,49498,(e),2.5,66078,(o),3.5,-2.18,1.21E+06,-0.023
6030.533,63028,(o),1.5,79606,(e),1.5,-1.85,2.64E+06,0.032
6033.995,49009,(o),3.5,65577,(e),3.5,-1.98,1.84E+06,-0.008
6034.115,66796,(o),3.5,83364,(e),3.5,-2.76,3.18E+05,0.001
6038.854,63028,(o),1.5,79583,(e),2.5,-1.09,1.48E+07,0.151
6039.328,44498,(o),2.5,61051,(e),3.5,-3.13,1.35E+05,-0.001
6040.784,45273,(o),3.5,61823,(e),3.5,-0.78,3.04E+07,0.197
6042.233,59625,(o),3.5,76170,(e),2.5,-0.31,9.10E+07,0.416
6043.468,55221,(o),1.5,71764,(e),1.5,-2.1,1.49E+06,0.01
6045.529,48557,(o),3.5,65093,(e),3.5,-2.08,1.52E+06,0.009
6048.184,32371,(o),2.5,48900,(e),3.5,-2.57,4.96E+05,0.01
6048.902,56088,(o),4.5,72616,(e),5.5,-1.89,2.34E+06,-0.03
6052.666,58052,(o),5.5,74569,(e),4.5,-0.29,9.49E+07,-0.455
6052.894,32982,(o),1.5,49498,(e),2.5,-1.39,7.20E+06,-0.122
6053.627,52881,(o),4.5,69395,(e),3.5,-2.17,1.25E+06,0.017
6056.462,46355,(o),4.5,62861,(e),5.5,-0.62,4.26E+07,0.479
6059.949,65594,(o),1.5,82091,(e),0.5,-0.69,3.69E+07,0.362
6063.018,58485,(o),4.5,74973,(e),3.5,-2.02,1.76E+06,-0.005
6063.504,45335,(o),4.5,61823,(e),3.5,-3.07,1.55E+05,0.005
6063.721,53121,(o),2.5,69608,(e),2.5,-2.05,1.56E+06,0.015
6066.37,59754,(o),5.5,76234,(e),6.5,-2.47,6.21E+05,0.015
6068.646,52922,(o),3.5,69395,(e),3.5,-1.12,1.39E+07,-0.061
6069.239,57799,(o),2.5,74270,(e),2.5,-2.45,6.48E+05,0.004
6070.212,49419,(o),0.5,65888,(e),1.5,-1.82,2.59E+06,-0.092
6075.217,52988,(o),1.5,69444,(e),1.5,-0.69,3.68E+07,-0.315
6082.222,45737,(o),1.5,62174,(e),1.5,-2.37,7.80E+05,0.165
6082.381,48025,(o),1.5,64461,(e),1.5,-0.63,4.30E+07,0.315
6083.306,44941,(o),1.5,61374,(e),2.5,-1.08,1.52E+07,0.121
6083.869,57534,(o),3.5,73967,(e),3.5,-0.85,2.50E+07,0.127
6088.712,48504,(o),5.5,64923,(e),4.5,-0.63,4.25E+07,0.15
6088.904,47229,(o),0.5,63648,(e),1.5,-2.23,1.06E+06,-0.015
6089.157,22961,(e),1.5,39379,(o),0.5,-2.87,2.33E+05,-0.171
6096.003,45737,(o),1.5,62137,(e),0.5,-2.96,2.04E+05,0.018
6096.996,58661,(o),2.5,75058,(e),2.5,-0.71,3.58E+07,0.258
6098.409,59777,(o),1.5,76170,(e),2.5,-1.59,4.76E+06,-0.069
6098.566,45430,(o),3.5,61823,(e),3.5,-1.05,1.62E+07,-0.142
6105.598,60910,(o),1.5,77284,(e),1.5,-0.92,2.22E+07,0.226
6105.971,47329,(o),2.5,63702,(e),2.5,-2.79,2.84E+05,-0.004
6106.179,50833,(o),1.5,67205,(e),1.5,-0.55,5.04E+07,-0.417
6108.336,48557,(o),3.5,64923,(e),4.5,-2.64,4.08E+05,-0.004
6109.542,65149,(o),0.5,81513,(e),1.5,-1.16,1.18E+07,0.242
6110.143,45013,(o),2.5,61374,(e),2.5,-0.9,2.27E+07,0.186
6112.624,49727,(o),6.5,66082,(e),5.5,-1.68,3.66E+06,-0.016
6116.674,31568,(o),2.5,47912,(e),3.5,-3.16,1.25E+05,-0.002
6117.542,64971,(o),3.5,81313,(e),2.5,-0.94,2.05E+07,0.06
6118.224,40036,(o),3.5,56376,(e),2.5,-3.58,4.66E+04,0.011
